data_lancamento,tipo,categoria,subcategoria,descricao,cliente_fornecedor,centro_custo,valor,data_vencimento,data_pagamento,status,conta
2025-01-01,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Prime,TI,2583.09,2025-02-15,,Em aberto,Conta Corrente
2025-01-01,Receita,Serviços,Assessoria,Assessoria administrativa,Cliente Alpha,Comercial,11972.24,2025-01-31,2025-01-29,Recebido,Conta Digital
2025-01-01,Despesa,Operacional,Energia,Conta de energia,Fornecedor Central,Comercial,90.91,2025-01-21,,Em aberto,Conta Investimento
2025-01-01,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,Operacional,1494.34,2025-01-11,2025-01-11,Pago,Conta Corrente
2025-01-02,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Digital,Administrativo,637.45,2025-02-01,,Em aberto,Conta Digital
2025-01-02,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Comercial,7810.39,2025-02-01,2025-01-29,Recebido,Conta Corrente
2025-01-02,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Beta,Operacional,506.08,2025-02-01,2025-01-31,Pago,Conta Digital
2025-01-04,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,Administrativo,1509.65,2025-01-19,2025-01-16,Pago,Conta Investimento
2025-01-04,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Beta,Projetos,5841.48,2025-01-24,,Em aberto,Conta Corrente
2025-01-05,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,Comercial,3018.79,2025-01-15,2025-01-13,Pago,Conta Digital
2025-01-05,Despesa,Comercial,Marketing,Material institucional,Fornecedor Beta,Administrativo,205.94,2025-01-25,2025-01-23,Pago,Conta Digital
2025-01-05,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Consultoria,17131.37,2025-01-25,2025-01-24,Recebido,Conta Investimento
2025-01-05,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Digital,TI,2525.6,2025-02-04,,Atrasado,Conta Corrente
