data_lancamento,tipo,categoria,subcategoria,descricao,cliente_fornecedor,centro_custo,valor,data_vencimento,data_pagamento,status,conta,ano,mes,mes_nome,trimestre,valor_receita,valor_despesa,resultado,em_aberto,pago_recebido,atrasado,dias_para_pagamento,dias_atraso
2025-01-01,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,Operacional,1494.34,2025-01-11,2025-01-11,Pago,Conta Corrente,2025,1,January,T1,0.0,1494.34,-1494.34,False,True,False,0.0,0
2025-01-01,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Prime,TI,2583.09,2025-02-15,,Em Aberto,Conta Corrente,2025,1,January,T1,0.0,2583.09,-2583.09,True,False,False,,0
2025-01-01,Despesa,Operacional,Energia,Conta de energia,Fornecedor Central,Comercial,90.91,2025-01-21,,Em Aberto,Conta Investimento,2025,1,January,T1,0.0,90.91,-90.91,True,False,False,,0
2025-01-01,Receita,Serviços,Assessoria,Assessoria administrativa,Cliente Alpha,Comercial,11972.24,2025-01-31,2025-01-29,Recebido,Conta Digital,2025,1,January,T1,11972.24,0.0,11972.24,False,True,False,-2.0,0
2025-01-02,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Beta,Operacional,506.08,2025-02-01,2025-01-31,Pago,Conta Digital,2025,1,January,T1,0.0,506.08,-506.08,False,True,False,-1.0,0
2025-01-02,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Digital,Administrativo,637.45,2025-02-01,,Em Aberto,Conta Digital,2025,1,January,T1,0.0,637.45,-637.45,True,False,False,,0
2025-01-02,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Comercial,7810.39,2025-02-01,2025-01-29,Recebido,Conta Corrente,2025,1,January,T1,7810.39,0.0,7810.39,False,True,False,-3.0,0
2025-01-04,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,Administrativo,1509.65,2025-01-19,2025-01-16,Pago,Conta Investimento,2025,1,January,T1,0.0,1509.65,-1509.65,False,True,False,-3.0,0
2025-01-04,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Beta,Projetos,5841.48,2025-01-24,,Em Aberto,Conta Corrente,2025,1,January,T1,5841.48,0.0,5841.48,True,False,False,,0
2025-01-05,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,Comercial,3018.79,2025-01-15,2025-01-13,Pago,Conta Digital,2025,1,January,T1,0.0,3018.79,-3018.79,False,True,False,-2.0,0
2025-01-05,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Digital,TI,2525.6,2025-02-04,,Atrasado,Conta Corrente,2025,1,January,T1,0.0,2525.6,-2525.6,True,False,True,,0
2025-01-05,Despesa,Comercial,Marketing,Material institucional,Fornecedor Beta,Administrativo,205.94,2025-01-25,2025-01-23,Pago,Conta Digital,2025,1,January,T1,0.0,205.94,-205.94,False,True,False,-2.0,0
2025-01-05,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Consultoria,17131.37,2025-01-25,2025-01-24,Recebido,Conta Investimento,2025,1,January,T1,17131.37,0.0,17131.37,False,True,False,-1.0,0
2025-01-06,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,RH,1748.22,2025-01-11,2025-01-06,Pago,Conta Digital,2025,1,January,T1,0.0,1748.22,-1748.22,False,True,False,-5.0,0
2025-01-06,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Central,Financeiro,7386.37,2025-01-16,2025-01-11,Pago,Conta Corrente,2025,1,January,T1,0.0,7386.37,-7386.37,False,True,False,-5.0,0
2025-01-07,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Prime,RH,7406.65,2025-03-08,2025-03-08,Pago,Conta Corrente,2025,1,January,T1,0.0,7406.65,-7406.65,False,True,False,0.0,0
2025-01-08,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Delta,Consultoria,7143.9,2025-01-18,2025-01-13,Recebido,Conta Corrente,2025,1,January,T1,7143.9,0.0,7143.9,False,True,False,-5.0,0
2025-01-09,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Prime,Comercial,1215.08,2025-02-08,2025-02-07,Pago,Conta Digital,2025,1,January,T1,0.0,1215.08,-1215.08,False,True,False,-1.0,0
2025-01-09,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Beta,TI,7502.02,2025-01-19,2025-01-14,Pago,Conta Investimento,2025,1,January,T1,0.0,7502.02,-7502.02,False,True,False,-5.0,0
2025-01-09,Receita,Serviços,Projetos,Projeto de análise,Cliente Beta,Projetos,3453.49,2025-02-08,2025-02-06,Recebido,Conta Digital,2025,1,January,T1,3453.49,0.0,3453.49,False,True,False,-2.0,0
2025-01-10,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,1835.85,2025-01-20,2025-01-19,Recebido,Conta Investimento,2025,1,January,T1,1835.85,0.0,1835.85,False,True,False,-1.0,0
2025-01-10,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Delta,Comercial,1967.94,2025-01-15,2025-01-15,Recebido,Conta Corrente,2025,1,January,T1,1967.94,0.0,1967.94,False,True,False,0.0,0
2025-01-12,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Delta,Projetos,2984.52,2025-01-27,2025-01-25,Recebido,Conta Corrente,2025,1,January,T1,2984.52,0.0,2984.52,False,True,False,-2.0,0
2025-01-12,Receita,Serviços,Projetos,Projeto de análise,Cliente Gama,Projetos,33537.36,2025-01-27,,Cancelado,Conta Corrente,2025,1,January,T1,33537.36,0.0,33537.36,False,False,False,,0
2025-01-13,Despesa,Comercial,Marketing,Material institucional,Fornecedor Prime,Comercial,693.39,2025-02-12,2025-02-12,Pago,Conta Investimento,2025,1,January,T1,0.0,693.39,-693.39,False,True,False,0.0,0
2025-01-13,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Prime,Financeiro,3102.23,2025-02-27,2025-02-27,Pago,Conta Digital,2025,1,January,T1,0.0,3102.23,-3102.23,False,True,False,0.0,0
2025-01-13,Receita,Serviços,Projetos,Projeto de análise,Cliente Ômega,Projetos,4774.07,2025-02-12,,Em Aberto,Conta Corrente,2025,1,January,T1,4774.07,0.0,4774.07,True,False,False,,0
2025-01-14,Despesa,Comercial,Marketing,Material institucional,Fornecedor Beta,Operacional,448.67,2025-02-03,2025-01-29,Pago,Conta Investimento,2025,1,January,T1,0.0,448.67,-448.67,False,True,False,-5.0,0
2025-01-14,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Atlas,RH,7248.92,2025-02-13,2025-02-10,Pago,Conta Corrente,2025,1,January,T1,0.0,7248.92,-7248.92,False,True,False,-3.0,0
2025-01-15,Despesa,Operacional,Software,Licença de software,Fornecedor Beta,Administrativo,481.87,2025-01-30,2025-01-27,Pago,Conta Investimento,2025,1,January,T1,0.0,481.87,-481.87,False,True,False,-3.0,0
